Status	CodigoSAP	Conta	CUP	Negocio	OrganizacaoVendas	ListaPrecoCodigo	ListaPrecoNome	DataFixacaoPreco	GrupoPreco	CondicaoPagamento	CodigoCondicaoPagamento	CodigoProduto	StatusVenda	M2PorCx	ClasseUso	CoefAtrito	Origem	Diferenciais	Produto	QtdePallet	Espessura	Hierarquia1	Hierarquia2	Hierarquia3	CodigoBarras	NCM	CEST	PesoBruto	PesoLiquido	UnidadeMedidaPeso	Moeda	PercentualAcrescimo	PercentualAVP	ValorAVP	PercentualMVA	ValorLista	ValorPis	PercentualPis	ValorCofins	PercentualCofins	ValorICMS	PercentualICMS	ValorIPI	PercentualIPI	ValorICMSST	ValorLiquido	ValorMercadoriaVista	ValorMercadoriaPrazo	ValorDaNF	QtdeMultiplaPorEmbalagem	PercentualDescontos	PercentualIcmsDestino	ValorIcmsDestino	ValorIB3S	ValorCBS3
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'FM.711.01							CONJUNTO P/INSTALACAO DO MICTORIO M711	0		Deca - Peca Pequena	Outros PP	Produtos Complementares	'7894200716006	4009.22.90		0,208	0,191	KG	BRL	0	0,88	0,17	0	19,51	0,36	1,65	1,67	7,6	3	12	1,62	6,5	0	19,68	24,77	24,99	26,61	20	0	23	2,3	0,02	0,18
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.81.37	DECA MIX GERAL						LAVATORIO 575X445MM MONTE CARLO-CREME	0		Deca - Peca Grande	Médio	Monte Carlo	'7894200703877	6910.90.00		14,597	14,597	KG	BRL	0	0,88	2,4	0	303,28	5,08	1,65	23,38	7,6	41,96	12	0	0	0	305,68	346,57	349,65	349,65	1	0	23	2,3	0,28	2,51
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.13060.94	DECA MIX GERAL						CUBA RETANG DE APOIO 60CM-ÉBANO FOSCO	0		Deca - Peca Grande	Luxo	Cuba Slim	'7894202010287	6910.90.00		14,656	14,656	KG	BRL	0	0,88	6,58	0	786,6	13,9	1,65	64,02	7,6	114,87	12	0	0	0	793,18	948,85	957,27	957,27	1	0	23	2,3	0,76	6,88
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'KP.8820.17	DECA MIX GERAL						KIT BACIA COM CAIXA LK TOTAL CLEAN-BR	0		Deca - Peca Grande	Luxo	LK Total Clean	'7894202003647	6910.90.00		57,146	53,323	KG	BRL	0	0,88	13,95	0	1584,77	29,19	1,65	134,46	7,6	73,72	4	0	0	0	1598,72	1826,68	1842,9	1842,9	1	0	23	2,3	1,61	14,45
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'B.61.17	DECA MIX GERAL						BIDE C/1 FURO CARRARA-BRANCO	0		Deca - Peca Grande	Luxo	Carrara	'7894200705499	6910.90.00		21,624	21,624	KG	BRL	0	0,88	5,99	0	756,52	12,66	1,65	58,33	7,6	104,66	12	0	0	0	762,51	864,52	872,2	872,2	1	0	23	2,3	0,7	6,27
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'AP.521.17	DECA MIX GERAL						ASS POLIEST S/TAMPA VPLUS CONF-BRANCO	0		Deca - Peca Pequena	Médio	Assento Poliéster Médio	'7894200794868	3922.20.00		0,174	0,068	KG	BRL	0	0,88	4,58	0	578,65	9,69	1,65	44,62	7,6	80,05	12	0	0	0	583,23	661,25	667,12	667,12	5	0	23	2,3	0,53	4,79
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'E.34.17							PASTILHA AMOSTRA COR 400MM - BRANCO	0		Deca - Peca Pequena	Materiais PDV	Promocional	'7894200727590	6912.00.00		1,287	1,287	KG	BRL	0	0,88	0,02	0	2,45	0,05	1,65	0,21	7,6	0,38	12	0,2	6,5	0	2,47	3,11	3,14	3,34	1	0	23	2,3	0	0,02
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.830.95	DECA MIX GERAL						CUBA SEMIENC QUAD C/MESA 420MM - EBANO	0		Deca - Peca Grande	Médio	Cuba de Semiencaixe Médio	'7894200790945	6910.90.00		13,506	13,482	KG	BRL	0	0,88	4,53	0	515,25	9,58	1,65	44,14	7,6	79,2	12	0	0	0	519,78	654,23	660,04	660,04	1	0	23	2,3	0,53	4,74
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.21040.M.94	DECA MIX GERAL						CUBA SOBREPOR QUAD COM MESA 40cm ÉB FC	0		Deca - Peca Grande	Médio	Cuba Slim	'7894202012663	6910.90.00		9,633	9,633	KG	BRL	0	0,88	4,5	0	537,74	9,5	1,65	43,77	7,6	78,53	12	0	0	0	542,24	648,65	654,41	654,41	1	0	23	2,3	0,52	4,7
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'TP.101.60	DECA MIX GERAL						TAMPA TOPO P/CAIXA ACOPLADA CD01-VERDE	0		Deca - Peca Pequena	Pecas de Reposição	Tampas Cx. Médio	'7894200720164	6910.90.00		2,238	2,238	KG	BRL	0	0,88	0,65	0	73,37	1,36	1,65	6,29	7,6	11,28	12	0	0	0	74,02	93,16	93,99	93,99	1	0	23	2,3	0,08	0,68
